Prevalence,N,TP,TN,FP,FN,Accuracy,Balanced_Accuracy,F1,Recall,Precision,Specificity,Err,Prompt,Dataset,Model,Pair
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,90,10,3,0.891666666666666,0.79868578255675,0.7234042553191491,0.85,0.6296296296296291,0.9677419354838711,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,90,10,3,0.891666666666666,0.79868578255675,0.7234042553191491,0.85,0.6296296296296291,0.9677419354838711,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
0.16666666666666602,120,17,94,6,3,0.925,0.8541012998655311,0.7906976744186041,0.85,0.7391304347826081,0.969072164948453,0,BASE,BTHS,MIXTRAL,MIXTRAL-BASE
